,DG.PA.Open,DG.PA.High,DG.PA.Low,DG.PA.Close,DG.PA.Volume,DG.PA.Adjusted
2013-11-22,46.360001,46.455002,45.77,46.125,1323318,38.435207
2013-11-25,46.34,46.82,46.224998,46.73,992578,38.939342
2013-11-26,46.549999,47.349998,46.544998,47.009998,2071116,39.172672
2013-11-27,47.139999,47.435001,46.845001,47.279999,1500566,39.397655
2013-11-28,47.23,47.584999,47.23,47.564999,863337,39.635147
2013-11-29,47.419998,47.555,47.264999,47.325001,1179189,39.43515
2013-12-02,47.305,47.474998,46.924999,47.259998,994880,39.380989
2013-12-03,47.209999,47.424999,46.384998,46.384998,1749473,38.651871
2013-12-04,46.5,46.674999,45.615002,46.244999,1924642,38.535206
2013-12-05,46.110001,46.115002,45,45,2369594,37.497772
2013-12-06,44.705002,45.674999,44.625,45.34,1901086,37.78109
2013-12-09,45.514999,45.779999,45.125,45.529999,1567003,37.939411
2013-12-10,45.375,46.07,45.259998,45.445,1488813,37.868584
2013-12-11,45.384998,45.985001,45.355,45.43,1233570,37.856087
2013-12-12,45.345001,46.044998,45.259998,45.650002,1702573,38.039402
2013-12-13,45.5,45.849998,45.165001,45.314999,1073666,37.76025
2013-12-16,45.299999,46.325001,45.215,45.939999,1445896,38.281059
2013-12-17,45.189999,45.314999,44.68,44.68,2771756,37.231113
2013-12-18,44.924999,45.060001,44.52,44.790001,1876857,37.322781
2013-12-19,45,46.075001,45,46.075001,2270900,38.393551
2013-12-20,46.169998,46.389999,46.025002,46.310001,2351006,38.589371
2013-12-23,46.310001,46.98,46.23,46.98,1338545,39.147667
2013-12-24,46.650002,47.294998,46.650002,46.974998,252570,39.143497
2013-12-27,47.299999,47.665001,47.07,47.665001,1051536,39.718479
2013-12-30,47.720001,47.900002,47.509998,47.685001,970975,39.735138
2013-12-31,47.514999,47.849998,47.514999,47.720001,192580,39.764297
2014-01-02,47.720001,47.895,47.375,47.375,1697755,39.476822
2014-01-03,47.41,47.889999,47.375,47.669998,923478,39.722637
2014-01-06,47.485001,48.145,47.32,47.744999,1287180,39.785133
2014-01-07,47.825001,48.294998,47.580002,48.200001,1181061,40.16428
2014-01-08,48.299999,48.735001,47.950001,48.735001,1960950,40.610085
2014-01-09,48.685001,48.790001,47.84,47.965,1421933,39.968456
2014-01-10,48.275002,48.439999,47.985001,48.055,1508876,40.043453
2014-01-13,48.080002,48.424999,47.715,48.200001,1004821,40.16428
2014-01-14,47.654999,47.799999,47.264999,47.605,1732213,39.668476
2014-01-15,47.91,48.955002,47.645,48.810001,1794782,40.672581
2014-01-16,48.945,49.25,48.57,49.125,1703401,40.93507
2014-01-17,49.259998,49.259998,48.544998,48.744999,1960149,40.61842
2014-01-20,48.700001,49.235001,48.619999,49.005001,1055512,40.835075
2014-01-21,49.02,49.09,48.57,48.709999,1179713,40.589252
2014-01-22,48.860001,49.110001,48.535,48.709999,1062485,40.589252
2014-01-23,48.525002,48.924999,48.130001,48.404999,1084217,40.335102
2014-01-24,48.615002,49.049999,47.549999,47.775002,2738090,39.810139
2014-01-27,47.919998,48.564999,47.794998,48.200001,2187084,40.16428
2014-01-28,48.494999,49.5,48.075001,49.355,2508611,41.126724
2014-01-29,49.735001,49.959999,48.044998,48.759998,2343090,40.630909
2014-01-30,48.884998,49.185001,48.290001,48.955002,1224710,40.793407
2014-01-31,48.855,48.884998,47.650002,48.564999,2027686,40.46843
2014-02-03,48.48,48.955002,47.384998,47.474998,1498620,39.56015
2014-02-04,47.419998,48.470001,47.16,48.205002,1935189,40.168446
2014-02-05,48.349998,48.75,47.900002,47.970001,1974747,39.972622
2014-02-06,49.485001,51.139999,48.919998,50.599998,4640185,42.164158
2014-02-07,50.450001,51.18,49.720001,51.060001,3098944,42.547462
2014-02-10,51.009998,51.189999,50.5,50.740002,1924488,42.280819
2014-02-11,51.049999,52,50.959999,51.970001,2358666,43.305763
2014-02-12,52,52.299999,51.509998,51.990002,2250949,43.322426
2014-02-13,51.720001,52.279999,51.630001,52.23,1585770,43.522408
2014-02-14,52.189999,52.630001,51.889999,52.580002,1712219,43.81406
2014-02-17,52.419998,52.599998,52.009998,52.439999,1016448,43.697403
2014-02-18,52.52,52.77,52.220001,52.720001,1156934,43.930721
2014-02-19,52.470001,52.549999,52.080002,52.299999,1423693,43.580742
2014-02-20,51.619999,52.200001,51.189999,52.119999,1706676,43.430744
2014-02-21,52.459999,53.049999,52.080002,53.009998,1471600,44.172371
2014-02-24,52.66,53.66,52.360001,53.66,1318345,44.714008
2014-02-25,53.389999,53.98,53.360001,53.950001,1176064,44.955666
2014-02-26,53.959999,54,53.130001,53.509998,1247370,44.589012
2014-02-27,53.5,54.259998,53.419998,54.189999,1543200,45.15564
2014-02-28,54.119999,54.240002,53.459999,54.130001,1760804,45.105648
2014-03-03,53.119999,53.119999,52.369999,52.43,2207533,43.689068
2014-03-04,52.82,53.759998,52.580002,53.66,1808594,44.714008
2014-03-05,53.349998,54.470001,53.23,54.16,1829120,45.130646
2014-03-06,54.259998,54.599998,53.880001,53.959999,1327448,44.963989
2014-03-07,53.939999,54.369999,53.259998,53.259998,1722601,44.380692
2014-03-10,53.310001,54.049999,53.18,53.580002,1125512,44.647343
2014-03-11,53.720001,53.900002,52.849998,53.639999,1131549,44.697334
2014-03-12,53.349998,53.860001,53.049999,53.73,1718087,44.772335
2014-03-13,53.75,53.77,53.049999,53.049999,1239686,44.205704
2014-03-14,52.700001,53.09,51.869999,52.369999,2077798,43.639072
2014-03-17,52.279999,53.18,52.209999,53.130001,983092,44.272362
2014-03-18,53,54.130001,52.459999,53.650002,1260723,44.705677
2014-03-19,53.650002,53.810001,53.099998,53.299999,1141502,44.414032
2014-03-20,52.970001,53.720001,52.740002,53.700001,1489136,44.747334
2014-03-21,53.830002,53.849998,53.060001,53.060001,2589386,44.214039
2014-03-24,53.060001,53.400002,52.259998,52.419998,1287916,43.680737
2014-03-25,52.669998,53.91,52.66,53.5,1437033,44.580681
2014-03-26,53.709999,54.189999,53.57,53.709999,1261306,44.755676
2014-03-27,53.66,54.18,53.360001,54.040001,1072111,45.030659
2014-03-28,54.299999,54.5,53.880001,54.290001,1305211,45.238979
2014-03-31,54.5,54.59,53.889999,53.91,1108630,44.922329
2014-04-01,53.950001,54.709999,53.91,54.52,1388890,45.43063
2014-04-02,54.52,54.52,53.790001,54.040001,1307087,45.030659
2014-04-03,54.049999,54.669998,53.560001,54.23,1370585,45.188984
2014-04-04,54.380001,54.93,54.009998,54.75,1519332,45.622284
2014-04-07,54.41,54.790001,53.900002,53.950001,1438359,44.955666
2014-04-08,53.959999,54.299999,53.080002,53.91,1520294,44.922329
2014-04-09,54,54.52,53.82,54.400002,920110,45.330639
2014-04-10,54.650002,54.77,53.689999,53.880001,1037054,44.897335
2014-04-11,53.470001,53.830002,52.810001,53.77,1591789,44.805668
2014-04-14,53.52,53.75,52.470001,53.07,1464689,44.22237
2014-04-15,52.98,53.400002,52.459999,52.610001,1121670,43.839054
2014-04-16,53.240002,54.099998,53.110001,54,1461993,44.997326
2014-04-17,54.02,54.439999,53.810001,54.099998,1159095,45.080647
2014-04-22,54.25,54.84,54.040001,54.650002,1513310,45.538948
2014-04-23,54.369999,54.41,53.91,54,1635858,44.997326
2014-04-24,54.369999,54.650002,53.66,54.130001,1328091,45.105648
2014-04-25,53.099998,54.119999,53.009998,53.73,2535721,45.804699
2014-04-28,53.810001,54.380001,53.73,54.150002,1276802,46.162746
2014-04-29,54.349998,55.139999,54.150002,55.029999,1936494,46.912945
2014-04-30,54.860001,55.23,53.849998,54.34,1987678,46.324718
2014-05-01,54.34,54.34,54.34,54.34,0,46.324718
2014-05-02,54.34,54.650002,53.98,54.09,1699714,46.111599
2014-05-05,54.099998,54.400002,53.16,54.330002,970293,46.3162
2014-05-06,54.490002,54.57,53.919998,54.110001,1095386,46.128647
2014-05-07,54,54.400002,53.560001,54.130001,1831001,46.145695
2014-05-08,54.240002,54.869999,54.040001,54.599998,1626011,46.546368
2014-05-09,54.5,54.689999,54.349998,54.459999,1384038,46.427017
2014-05-12,54.73,55,54.389999,54.740002,1595957,46.665722
2014-05-13,54.73,54.75,54.330002,54.48,1300111,46.444069
2014-05-14,54.580002,54.700001,54.060001,54.369999,1262936,46.3503
2014-05-15,54.200001,54.509998,52.939999,53.119999,2340172,45.284668
2014-05-16,53.110001,53.41,52.610001,53.299999,2057656,45.438126
2014-05-19,53.27,53.799999,52.599998,53.689999,1695223,45.770596
2014-05-20,53.869999,54.09,53.419998,53.509998,1359749,45.617146
2014-05-21,53.369999,53.849998,53.080002,53.419998,1298328,45.540424
2014-05-22,53.5,53.849998,53.360001,53.66,992877,45.745022
2014-05-23,53.66,53.990002,53.150002,53.860001,947195,45.91552
2014-05-26,54,54.259998,53.880001,54.240002,801758,46.239475
2014-05-27,54.150002,54.580002,54.130001,54.330002,913220,46.3162
2014-05-28,54.290001,54.52,54.150002,54.52,831323,46.478172
2014-05-29,54.459999,54.549999,54.18,54.43,870918,46.40144
2014-05-30,54.43,54.5,54.099998,54.299999,1248944,46.290623
2014-06-02,54.509998,54.75,54.150002,54.450001,1044374,46.418491
2014-06-03,54.5,54.560001,54.23,54.419998,994167,46.392925
2014-06-04,54.23,54.700001,54.23,54.599998,1639432,46.546368
2014-06-05,54.599998,55.529999,54.389999,55.369999,2042323,47.202793
2014-06-06,55.619999,56.639999,55.400002,56.380001,1862070,48.063816
2014-06-09,56.43,56.939999,56.389999,56.630001,702447,48.276943
2014-06-10,56.709999,56.900002,56.450001,56.709999,1148634,48.345142
2014-06-11,56.810001,56.889999,55.880001,56.27,2508348,47.970043
2014-06-12,56.509998,56.939999,56.27,56.459999,1514695,48.132019
2014-06-13,56.5,56.580002,55.830002,56.189999,1182290,47.90184
2014-06-16,56.049999,56.220001,55.610001,55.689999,1185111,47.475594
2014-06-17,55.849998,56.169998,55.540001,55.779999,1089051,47.552322
2014-06-18,55.799999,55.869999,55.509998,55.75,955704,47.526749
2014-06-19,56.27,57.110001,56.27,56.849998,2033666,48.464485
2014-06-20,57.02,57.360001,56.25,56.25,5219269,47.952995
2014-06-23,56.34,56.490002,55.599998,55.900002,1097245,47.654613
2014-06-24,56.049999,56.220001,55.200001,55.23,1693063,47.083447
2014-06-25,55.130001,55.349998,54.639999,55.099998,1730382,46.972614
2014-06-26,55.400002,55.66,54.610001,55.099998,1355756,46.972614
2014-06-27,55.150002,55.360001,54.91,55.040001,1029412,46.921474
2014-06-30,55.220001,55.310001,54.369999,54.599998,1460957,46.546368
2014-07-01,54.209999,54.5,54.049999,54.439999,1535788,46.409969
2014-07-02,54.59,54.970001,54.099998,54.369999,1307137,46.3503
2014-07-03,54.32,54.48,53.73,54.209999,2019301,46.213898
2014-07-04,54.27,54.490002,53.959999,54.09,947667,46.111599
2014-07-07,53.91,54.02,52.889999,53,1581917,45.182377
2014-07-08,53.169998,53.349998,51.560001,51.700001,1867917,44.074131
2014-07-09,51.919998,52.139999,51.73,51.950001,1768559,44.287254
2014-07-10,51.860001,52.040001,51.099998,51.529999,1734610,43.929199
2014-07-11,51.549999,52.040001,51.509998,51.830002,1565688,44.184956
2014-07-14,51.810001,52.34,51.709999,52.029999,985245,44.35545
2014-07-15,51.810001,52.139999,51.459999,51.619999,1099084,44.005928
2014-07-16,51.73,52.66,51.709999,52.610001,1172676,44.849895
2014-07-17,52.23,52.540001,51.75,51.849998,1204498,44.202
2014-07-18,51.580002,52.59,51.369999,52.540001,1707981,44.790226
2014-07-21,52.549999,52.630001,51.700001,51.93,1243120,44.270203
2014-07-22,52.279999,53.619999,52.279999,53.439999,2009305,45.557472
2014-07-23,53.43,53.849998,53.290001,53.439999,1075387,45.557472
2014-07-24,53.540001,54,52.959999,53.91,1238060,45.958145
2014-07-25,53.73,53.900002,52.779999,52.939999,1348710,45.131222
2014-07-28,53.220001,53.360001,52.389999,52.860001,1470626,45.063026
2014-07-29,52.84,53.470001,52.52,53.130001,1156832,45.293194
2014-07-30,53.240002,53.450001,52.509998,52.73,1253629,44.952202
2014-07-31,52.779999,52.810001,51.290001,51.619999,1864303,44.005928
2014-08-01,48.700001,49.084999,45.5,48.355,6251402,41.222527
2014-08-04,48.325001,48.849998,48.040001,48.125,2575060,41.026451
2014-08-05,48.279999,48.52,47.599998,47.900002,2115833,40.834641
2014-08-06,47.535,47.869999,47.209999,47.505001,2022437,40.497902
2014-08-07,47.5,47.654999,46.275002,46.365002,2278765,39.526054
2014-08-08,45.759998,47.18,45.564999,46.779999,2924736,39.879833
2014-08-11,47.115002,48.115002,47.035,47.955002,3248448,40.881527
2014-08-12,47.919998,47.919998,47.165001,47.32,1693871,40.340191
2014-08-13,47.830002,47.869999,47.209999,47.5,1606686,40.493641
2014-08-14,47.424999,47.814999,47.099998,47.369999,1623400,40.382809
2014-08-15,47.450001,47.950001,46.810001,46.865002,2366898,39.952305
2014-08-18,47.595001,47.834999,47.279999,47.404999,1510799,40.412651
2014-08-19,47.615002,47.779999,47.43,47.599998,1341328,40.57888
2014-08-20,47.485001,47.709999,47.139999,47.599998,930621,40.57888
2014-08-21,47.599998,48.490002,47.365002,48.48,1730312,41.329082
2014-08-22,48.5,48.5,47.645,47.884998,1322963,40.82185
2014-08-25,48.494999,48.855,48.029999,48.855,1391602,41.648769
2014-08-26,48.98,49.27,48.84,49.18,2119476,41.925827
2014-08-27,49.035,49.365002,48.759998,49.264999,1636401,41.998291
2014-08-28,49.285,49.415001,48.834999,49.23,1689575,41.968452
2014-08-29,49.5,49.834999,49.235001,49.75,2183609,42.411755
2014-09-01,49.884998,49.950001,49.154999,49.360001,1193799,42.079285
2014-09-02,49.450001,49.5,48.91,49.029999,1804966,41.797958
2014-09-03,49.275002,49.990002,49.150002,49.674999,1839424,42.347813
2014-09-04,49.150002,49.18,48.32,48.790001,3704295,41.593361
2014-09-05,48.755001,48.895,47.82,47.880001,2950048,40.817585
2014-09-08,48,48.049999,47.450001,47.580002,2018059,40.561844
2014-09-09,47.599998,47.75,47.084999,47.220001,1455701,40.25494
2014-09-10,47.084999,47.169998,46.875,47.029999,1477930,40.09296
2014-09-11,46.57,46.720001,45.845001,46.255001,2268352,39.432278
2014-09-12,46.310001,46.349998,45.610001,45.869999,1729267,39.104069
2014-09-15,45.82,45.849998,45.150002,45.150002,1747713,38.490269
2014-09-16,45.119999,45.139999,44.785,45.040001,1694214,38.396492
2014-09-17,45.57,46.18,45.380001,46.060001,2092257,39.266045
2014-09-18,46.220001,46.650002,45.709999,46.195,2501802,39.381126
2014-09-19,46.799999,46.939999,45.945,46.134998,2617541,39.329975
2014-09-22,46.130001,46.669998,45.869999,46.435001,1656148,39.585735
2014-09-23,46.264999,46.32,45.419998,45.529999,1903617,38.814217
2014-09-24,45.5,46.470001,45.220001,46.369999,2018539,39.530312
2014-09-25,46.474998,46.73,45.59,45.810001,2077101,39.052921
2014-09-26,46.005001,46.619999,45.865002,46.389999,1831608,39.547371
2014-09-29,46.285,46.459999,45.220001,45.389999,1781100,38.694866
2014-09-30,45.395,46.264999,45.200001,46.005001,2722187,39.219154
2014-10-01,45.974998,46.360001,45.529999,45.619999,1399797,38.890942
2014-10-02,45.509998,45.959999,44.724998,44.724998,2697710,38.127956
2014-10-03,44.959999,45.549999,44.77,45.345001,1750263,38.656506
2014-10-06,45.700001,45.849998,45.16,45.299999,1533201,38.618137
2014-10-07,45.279999,45.494999,44.514999,44.514999,2482721,37.948936
2014-10-08,44.5,44.564999,43.294998,43.450001,2589701,37.041023
2014-10-09,44.235001,44.474998,43.119999,43.27,2693929,36.887569
2014-10-10,43.005001,43.130001,42.029999,42.084999,3352525,35.877361
2014-10-13,41.830002,43,41.57,42.900002,2510866,36.572151
2014-10-14,42.400002,43.735001,42.259998,43.645,2831230,37.207256
2014-10-15,43.709999,43.720001,41.375,41.404999,3234465,35.297657
2014-10-16,41.639999,42.535,39.974998,42.32,4968122,36.077694
2014-10-17,42.294998,43.959999,42.110001,43.799999,3923953,37.339397
2014-10-20,43.77,44.310001,43.465,44.025002,2685054,37.531216
2014-10-21,43.700001,44.700001,43.560001,44.685001,2461357,38.093857
2014-10-22,44.705002,44.970001,44.459999,44.619999,2036062,38.038441
2014-10-23,44.345001,44.965,43.965,44.785,1768132,38.179111
2014-10-24,44.334999,44.455002,43.845001,44.084999,2857475,37.582359
2014-10-27,44.68,44.685001,42.935001,43.525002,2370533,37.104961
2014-10-28,44.035,44.400002,43.709999,43.715,2603308,37.266941
2014-10-29,44,44.145,43.564999,43.619999,1629947,37.185944
2014-10-30,43.935001,44.064999,43.139999,43.919998,2399079,37.4417
2014-10-31,44.57,45.584999,44.200001,45.474998,2646666,38.767323
2014-11-03,45.580002,46.279999,45.564999,45.685001,2327601,38.946354
2014-11-04,45.689999,46.18,44.799999,44.974998,1978150,38.341084
2014-11-05,45.494999,46.150002,45.205002,45.790001,1824472,39.035866
2014-11-06,45.764999,46.794998,45.509998,46.23,2290610,39.410969
2014-11-07,46.305,46.470001,45.555,45.865002,1572878,39.099808
2014-11-10,45.794998,46.32,45.509998,46.305,1405922,39.474899
2014-11-11,45.794998,45.814999,45.48,45.549999,1783970,39.298038
2014-11-12,45.505001,45.639999,44.66,44.759998,1934251,38.616467
2014-11-13,45.09,45.139999,43.380001,43.650002,2486760,37.658825
2014-11-14,43.91,43.91,43.005001,43.384998,2000339,37.430191
2014-11-17,42.849998,43.77,42.759998,43.735001,1803447,37.732155
2014-11-18,43.650002,44.169998,43.525002,44.080002,1911066,38.029804
2014-11-19,44.200001,44.360001,43.805,44.310001,1157272,38.228233
2014-11-20,44.305,44.360001,43.544998,43.700001,1755758,37.701965
2014-11-21,43.865002,44,43.665001,43.700001,4034644,37.701965
2014-11-24,43.805,44.099998,43.575001,43.700001,1960724,37.701965
2014-11-25,43.84,43.955002,43.395,43.695,2724455,37.697647
2014-11-26,43.799999,44,43.455002,43.5,1654755,37.529415
2014-11-27,43.634998,43.814999,43.375,43.700001,1742210,37.701965
2014-11-28,43.84,43.900002,43.130001,43.474998,1461410,37.507839
2014-12-01,43.224998,43.709999,43.154999,43.584999,1317687,37.602749
2014-12-02,43.834999,44.264999,43.605,43.700001,2767388,37.701965
2014-12-03,43.805,43.965,43.669998,43.724998,1861787,37.723534
2014-12-04,43.900002,44.290001,42.715,43.119999,2111559,37.201572
2014-12-05,43.490002,45.395,43.294998,45.330002,2911513,39.108231
2014-12-08,45,45,44.360001,44.555,1724357,38.43961
2014-12-09,43.98,44.330002,43.259998,43.259998,2385755,37.322353
2014-12-10,43.525002,45.279999,43.334999,44.435001,3415067,38.336079
2014-12-11,44.349998,44.595001,43.98,44.240002,1385567,38.167847
2014-12-12,44.005001,44.044998,42.439999,42.494999,2236414,36.662361
2014-12-15,42.355,42.990002,41.235001,41.25,2205921,35.588234
2014-12-16,41.264999,42.119999,39.645,42.099998,4340326,36.321568
2014-12-17,41.755001,43.439999,41.639999,43.134998,2843325,37.214512
2014-12-18,44.014999,45.875,44.014999,45.724998,3859446,39.449017
2014-12-19,46.005001,46.310001,45.014999,45.41,5459421,39.177258
2014-12-22,45.610001,46.130001,45.075001,45.465,1345137,39.224709
2014-12-23,45.5,46.389999,45.48,46.389999,1012735,40.022751
2014-12-24,46.349998,46.400002,45.974998,45.985001,214881,39.673336
2014-12-29,45.900002,46.165001,45.470001,46.165001,909481,39.828625
2014-12-30,45.98,46.23,45.259998,45.259998,740284,39.04784
2014-12-31,45.68,45.779999,45.369999,45.509998,217604,39.263531
2015-01-02,45.935001,46.294998,44.860001,45.424999,1233321,39.190189
2015-01-05,44.965,45.32,43.825001,43.880001,2148890,37.857262
2015-01-06,44.220001,44.23,43.400002,43.400002,1592656,37.443138
2015-01-07,43.720001,46.02,43.700001,45,3580013,38.823536
2015-01-08,45.685001,46.740002,45.27,46.575001,2107098,40.182354
2015-01-09,46.529999,47.384998,46.279999,46.564999,2024266,40.173725
