,AI.PA.Open,AI.PA.High,AI.PA.Low,AI.PA.Close,AI.PA.Volume,AI.PA.Adjusted
2013-11-27,82.267998,82.750999,81.945999,82.630203,711839,70.227959
2013-11-28,82.549698,83.072998,82.308197,82.630203,441584,70.227959
2013-11-29,82.429001,82.831497,82.227699,82.589996,456252,70.193794
2013-12-02,82.509499,82.750999,82.147202,82.509499,455940,70.125381
2013-12-03,82.308197,82.509499,80.480904,80.5373,910030,68.449188
2013-12-04,80.819,81.221497,79.410301,80.2314,1035752,68.189194
2013-12-05,80.480904,80.497002,79.378098,79.498901,877452,67.56665
2013-12-06,79.692101,79.7323,78.790497,79.273499,1210935,67.375076
2013-12-09,79.676003,79.676003,78.854897,79.0159,1099742,67.156136
2013-12-10,78.935402,79.176903,78.339699,78.532898,817036,66.745628
2013-12-11,78.879097,79.345901,78.597298,78.854897,1426873,67.019295
2013-12-12,78.6698,78.9515,78.323601,78.412201,950552,66.643051
2013-12-13,78.597298,79.362,78.444397,78.822701,865413,66.991943
2013-12-16,78.621498,79.836998,78.532898,79.643799,1056665,67.689796
2013-12-17,79.088303,79.531097,78.549004,78.597298,995845,66.800369
2013-12-18,78.8871,79.627701,78.814697,79.4506,1034258,67.525589
2013-12-19,79.692101,80.488998,79.692101,80.480904,1322411,68.401253
2013-12-20,80.360199,80.497002,79.8209,80.488998,1705561,68.408134
2013-12-23,80.344101,80.456802,79.780602,80.432602,701752,68.360207
2013-12-24,80.456802,81.1008,80.416496,80.698303,121556,68.586021
2013-12-27,81.221497,82.026497,80.859299,82.026497,700232,69.714867
2013-12-30,82.107002,82.509499,81.865501,82.227699,532628,69.885864
2013-12-31,82.388702,82.750999,82.267998,82.750999,157887,70.330627
2014-01-02,82.831497,82.912003,81.261803,81.261803,657455,69.064949
2014-01-03,81.422798,82.026497,81.302002,81.744797,319633,69.475441
2014-01-06,81.503304,81.664299,79.981903,80.094597,960963,68.072929
2014-01-07,79.370102,79.506897,78.653702,78.846901,1346067,67.012512
2014-01-08,79.289597,79.6035,78.903198,79.506897,930023,67.573441
2014-01-09,79.458603,79.651802,78.645599,79.064201,762383,67.197189
2014-01-10,79.378098,79.981903,79.104401,79.643799,793515,67.689796
2014-01-13,79.7323,79.812798,79.031998,79.345901,532697,67.436607
2014-01-14,78.653702,79.080299,78.210899,78.935402,989467,67.087723
2014-01-15,79.040001,79.458603,78.484596,79.225197,831201,67.334015
2014-01-16,79.040001,79.370102,78.8871,79.209099,729124,67.320328
2014-01-17,79.402298,80.376297,79.144699,79.506897,1109134,67.573441
2014-01-20,79.531097,79.8209,79.160797,79.353996,416605,67.443489
2014-01-21,79.587402,80.014099,79.128601,79.466698,761261,67.539276
2014-01-22,79.716202,79.877197,79.112503,79.273499,514256,67.375076
2014-01-23,79.144699,79.611603,78.307503,78.702003,809268,66.889359
2014-01-24,78.846901,78.8871,76.254898,76.488297,1590989,65.007919
2014-01-27,76.689499,76.922997,75.820198,76.101898,1043165,64.679512
2014-01-28,76.391701,76.5205,75.578697,75.8041,1173455,64.426407
2014-01-29,76.254898,76.931,74.620796,75.546501,1377533,64.207466
2014-01-30,75.5867,76.061699,75.071503,75.321098,890809,64.0159
2014-01-31,75.313004,75.731598,73.896301,75.023201,1281267,63.762707
2014-02-03,75.192299,75.788002,74.685204,74.773697,1045568,63.550663
2014-02-04,74.5886,75.321098,73.952599,75.023201,1171280,63.762707
2014-02-05,74.886398,75.892601,74.483902,75.272797,985011,63.97485
2014-02-06,75.570602,76.464104,75.321098,76.2146,1222140,64.775291
2014-02-07,77.357697,77.727997,76.560699,77.679604,1422955,66.020409
2014-02-10,77.808403,78.854897,77.695702,78.677803,1157756,66.86879
2014-02-11,78.8871,79.402298,78.541,79.370102,917891,67.457176
2014-02-12,79.418404,79.8853,79.104401,79.394203,871796,67.477676
2014-02-13,79.378098,80.311897,79.1689,80.110703,1104255,68.086624
2014-02-14,80.1026,80.497002,79.7565,80.497002,920416,68.41494
2014-02-17,80.497002,80.738503,79.853104,79.957703,816205,67.956581
2014-02-18,80.497002,80.497002,78.500702,78.975601,1317425,67.121895
2014-02-19,78.476601,79.547203,78.476601,79.482803,984555,67.552963
2014-02-20,78.428299,79.353996,78.243103,79.353996,990014,67.443489
2014-02-21,79.329803,79.780602,79.184998,79.426399,1162034,67.50502
2014-02-24,79.418404,79.8853,78.959503,79.8853,834884,67.895042
2014-02-25,79.563301,80.062401,79.329803,79.981903,781572,67.97715
2014-02-26,79.788696,79.949699,79.4506,79.788696,834073,67.812935
2014-02-27,79.981903,80.094597,79.273499,79.8853,1002272,67.895042
2014-02-28,79.6679,80.5373,79.523003,80.303802,1066884,68.250732
2014-03-03,79.474701,79.941597,78.066002,78.331703,1558489,66.574638
2014-03-04,78.943497,80.657997,78.766403,80.577499,1342756,68.48336
2014-03-05,80.183098,80.424599,79.555199,80.223396,1229508,68.182396
2014-03-06,80.263603,80.432602,78.975601,79.531097,1170505,67.594009
2014-03-07,79.378098,80.400497,79.1689,79.305702,1062676,67.402443
2014-03-10,79.249298,80.158997,78.999802,79.4506,935961,67.525589
2014-03-11,79.571297,79.981903,78.927399,79.289597,797680,67.388756
2014-03-12,78.838799,78.846901,78.090202,78.412201,1121666,66.643051
2014-03-13,78.404099,78.6054,77.245003,77.277199,1152201,65.678413
2014-03-14,76.697601,77.067902,76.254898,76.576797,1944130,65.08313
2014-03-17,76.592903,77.2369,76.278999,76.947098,1153590,65.39785
2014-03-18,76.609001,78.138496,76.552696,77.647499,1252771,65.993126
2014-03-19,77.430099,77.599197,76.947098,77.140297,1025697,65.562057
2014-03-20,76.665398,77.470398,76.488297,77.357697,1531522,65.746819
2014-03-21,77.414001,78.677803,77.341599,78.565102,1465769,66.77301
2014-03-24,78.4524,78.573196,77.494499,77.647499,981755,65.993126
2014-03-25,77.816498,79.3862,77.816498,78.782501,976900,66.957779
2014-03-26,78.830803,79.812798,78.524902,79.289597,747547,67.388756
2014-03-27,78.943497,79.724297,78.8871,79.273499,654841,67.375076
2014-03-28,79.466698,80.005997,79.394203,79.7323,795576,67.765015
2014-03-31,79.989899,80.046303,79.128601,79.144699,839713,67.265602
2014-04-01,79.184998,79.362,78.693901,78.895203,856254,67.053543
2014-04-02,78.718102,79.112503,78.541,78.911301,609468,67.067238
2014-04-03,78.879097,79.490799,78.597298,78.927399,622315,67.080933
2014-04-04,78.991798,80.2556,78.959503,79.812798,1029281,67.833427
2014-04-07,79.458603,79.6035,78.967598,79.289597,765619,67.388756
2014-04-08,79.305702,79.804802,78.975601,79.780602,1058081,67.806061
2014-04-09,79.957703,79.957703,79.104401,79.249298,738492,67.354507
2014-04-10,79.635696,79.893303,79.0159,79.353996,776465,67.443489
2014-04-11,78.8871,79.048103,78.122398,78.557098,1190562,66.766197
2014-04-14,78.323601,78.871002,77.607201,78.871002,958503,67.032982
2014-04-15,78.645599,79.3862,78.420197,78.549004,911014,66.759315
2014-04-16,79.031998,79.514999,78.967598,79.394203,1002050,67.477676
2014-04-17,79.410301,79.780602,79.0159,79.482803,920029,67.552963
2014-04-22,79.571297,81.181297,79.490799,81.060501,1053378,68.893852
2014-04-23,81.020302,81.060501,80.416496,80.698303,831903,68.586021
2014-04-24,81.865501,83.233902,81.704498,82.670502,1465785,70.262215
2014-04-25,82.589996,83.3144,82.4692,82.871696,992069,70.433205
2014-04-28,83.072998,83.475403,82.549698,83.233902,779591,70.741051
2014-04-29,83.153503,83.475403,82.670502,83.193703,669798,70.706879
2014-04-30,83.193703,83.394897,82.549698,82.9925,776227,70.535873
2014-05-01,82.9925,82.9925,82.9925,82.9925,0,70.535873
2014-05-02,83.193703,83.515701,82.630203,83.153503,676744,70.672714
2014-05-05,83.2742,83.2742,81.905701,82.9925,495802,70.535873
2014-05-06,83.0327,83.113197,82.107002,82.4692,535392,70.091125
2014-05-07,82.388702,83.555901,82.107002,83.435204,753602,70.91214
2014-05-08,83.596199,84.320702,83.596199,84.320702,990693,71.664719
2014-05-09,83.998703,84.441399,83.8377,84.441399,640447,71.767311
2014-05-12,84.521896,85.165901,84.481697,85.125603,571811,72.348816
2014-05-13,84.9244,85.2061,84.562103,84.763397,993351,72.040977
2014-05-14,84.9244,85.407402,84.763397,85.367104,705876,72.554062
2014-05-15,85.326897,86.453796,85.326897,85.608597,1204459,72.759315
2014-05-16,83.636398,85.004898,83.475403,84.9646,1052072,74.42897
2014-05-19,84.642601,85.447601,84.602402,85.085403,676737,74.534798
2014-05-20,85.085403,85.286598,84.441399,84.803596,456638,74.287933
2014-05-21,84.562103,85.2061,84.240196,85.045097,475258,74.499489
2014-05-22,85.004898,85.608597,84.884102,85.568398,530278,74.957893
2014-05-23,85.528099,85.689102,85.085403,85.326897,481410,74.746338
2014-05-26,85.407402,85.930603,85.407402,85.890404,388757,75.239983
2014-05-27,85.7696,86.453796,85.568398,85.890404,605487,75.239983
2014-05-28,85.729401,86.131798,85.326897,85.7696,651880,75.134163
2014-05-29,85.7696,85.890404,85.447601,85.7696,354765,75.134163
2014-05-30,85.890404,86.091599,85.407402,86.011101,687127,75.345711
2014-06-02,88.174896,88.405098,85.916901,86.102898,1040208,75.426125
2014-06-03,86.501297,86.527901,85.668999,86.040901,799023,75.371811
2014-06-04,85.970001,86.288803,85.509598,86.155998,776362,75.472633
2014-06-05,86.226799,87.005997,85.624702,86.518997,1041258,75.790619
2014-06-06,86.518997,87.333702,86.483597,87.121101,899080,76.318069
2014-06-09,87.307098,87.829498,87.121101,87.696701,649522,76.822289
2014-06-10,87.847198,87.900398,87.174301,87.546204,684219,76.690453
2014-06-11,87.572701,87.997803,87.475304,87.705597,907920,76.830086
2014-06-12,87.732101,87.988899,87.227402,87.262802,659245,76.4422
2014-06-13,87.218597,87.4842,86.607597,87.138901,695232,76.333656
2014-06-16,86.917503,87.041496,86.412804,86.457001,896018,75.736313
2014-06-17,86.687302,87.661301,86.581001,87.4842,839238,76.636147
2014-06-18,87.439903,87.687897,86.926399,87.307098,578640,76.480995
2014-06-19,88.174896,88.6353,87.6259,87.705597,1147476,76.830086
2014-06-20,87.687897,88.6353,87.422203,87.422203,1578438,76.581841
2014-06-23,87.253998,87.386803,86.359596,86.642998,822160,75.899254
2014-06-24,87.129997,87.466499,86.572197,87.245102,811868,76.426689
2014-06-25,87.218597,87.5019,86.262299,86.642998,897515,75.899254
2014-06-26,86.766998,86.811203,85.483002,85.943497,745105,75.286476
2014-06-27,86.102898,86.3862,85.642403,86.271103,715048,75.573463
2014-06-30,86.589897,87.732101,86.3685,87.307098,1237848,76.480995
2014-07-01,87.448799,88.413902,87.360199,88.263397,997299,77.318718
2014-07-02,87.918098,88.493599,87.4842,88.192596,810961,77.256699
2014-07-03,88.068604,89.565002,87.900398,89.520798,1113972,78.420204
2014-07-04,89.343697,90.184898,89.210899,89.963501,660309,78.808006
2014-07-07,89.697899,89.697899,88.723801,88.856697,639628,77.838448
2014-07-08,88.679604,89.122299,87.891502,87.900398,780284,77.000732
2014-07-09,87.971199,88.989502,87.935799,88.812401,568896,77.799637
2014-07-10,88.520203,88.546799,87.147697,87.174301,888073,76.36467
2014-07-11,87.138901,87.599297,86.944099,87.528503,859390,76.67495
2014-07-14,87.546204,88.413902,87.227402,88.121696,485661,77.194588
2014-07-15,87.838402,88.086304,86.944099,86.9972,788525,76.209534
2014-07-16,87.413399,88.281097,87.413399,88.281097,697145,77.334229
