,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2017-01-19,60.110001,60.459999,59.419998,59.759998,2644796,50.599327
2017-01-20,59.59,60.439999,59.23,60.060001,4119832,50.853344
2017-01-23,59.5,59.779999,58.93,59.18,2142810,50.108234
2017-01-24,59.549999,60.060001,59.400002,59.900002,2029944,50.717865
2017-01-25,60.68,62.540001,60.599998,62.389999,4714420,52.826168
2017-01-26,62.59,63.349998,61.549999,61.639999,4344401,52.191135
2017-01-27,61.540001,61.57,60.610001,61.450001,2455773,52.030266
2017-01-30,61.029999,61.459999,59.880001,60.279999,2726655,51.039616
2017-01-31,60.43,61.450001,59.18,59.18,3697937,50.108234
2017-02-01,59.880001,60.75,59.540001,60.630001,2939274,51.335964
2017-02-02,60.389999,60.66,59.720001,60.259998,2570213,51.022678
2017-02-03,60.77,61.57,60.34,61.139999,3001101,51.767784
2017-02-06,61.5,62,60.009998,60.009998,3173177,50.811005
2017-02-07,57.049999,58.23,56.990002,57.150002,6259760,48.389416
2017-02-08,57,57.110001,54.790001,56.060001,6207122,47.466507
2017-02-09,57,57,55.830002,56.689999,4888367,47.999928
2017-02-10,57.07,57.080002,55.509998,55.700001,4233612,47.16169
2017-02-13,56,56.720001,55.48,56.349998,3554095,47.712048
2017-02-14,56.32,56.82,55.82,56.779999,2541744,48.076134
2017-02-15,56.98,58.279999,56.98,57.490002,3734421,48.677296
2017-02-16,57.490002,57.650002,57.009998,57.02,2820241,48.279343
2017-02-17,57.02,57.110001,55.380001,55.75,4155644,47.204025
2017-02-20,56.32,56.720001,55.349998,55.630001,2330028,47.102421
2017-02-21,55.41,56.200001,54.959999,55.790001,3196159,47.237892
2017-02-22,55.959999,56.549999,54.700001,55.799999,4064843,47.246357
2017-02-23,56,56.509998,55.150002,55.619999,3164717,47.093948
2017-02-24,55.200001,55.73,53.959999,54.68,4135354,46.298046
2017-02-27,55.189999,55.41,54.669998,54.740002,2935247,46.34885
2017-02-28,54.75,55.43,54.619999,55.130001,3605152,46.679062
2017-03-01,55.889999,57.959999,55.740002,57.59,5436640,48.761963
2017-03-02,57.91,58.110001,57.490002,57.669998,3819429,48.8297
2017-03-03,57.700001,59.939999,57.529999,59.310001,4950723,50.218307
2017-03-06,58.990002,59.48,58.459999,58.700001,2809388,49.701813
2017-03-07,59,59.09,58.09,58.84,2755034,49.820351
2017-03-08,59,59.889999,58.560001,59.349998,3422590,50.252174
