date,AI.PA,BN.PA,DG.PA,BNP.PA,SAF.PA
19/12/2013,68.401253,43.688301,38.393551,41.462875,44.229897
20/12/2013,68.408134,43.44994,38.589371,41.852016,44.180515
23/12/2013,68.360207,43.475475,39.147667,42.531116,44.51273
24/12/2013,68.586021,43.586147,39.143497,42.47007,44.746178
27/12/2013,69.714867,44.207588,39.718479,43.049965,45.253487
30/12/2013,69.885864,44.48851,39.735138,43.095745,45.06493
31/12/2013,70.330627,44.539593,39.764297,43.225468,45.352257
02/01/2014,69.064949,43.807484,39.476822,42.378506,45.154724
03/01/2014,69.475441,43.994766,39.722637,42.485332,45.971802
06/01/2014,68.072929,43.569118,39.785133,42.554001,46.321972
07/01/2014,67.012512,44.113945,40.16428,43.774841,46.115463
08/01/2014,67.573441,43.560608,40.610085,44.400528,45.908947
09/01/2014,67.197189,43.245628,39.968456,43.660393,45.882004
10/01/2014,67.689796,43.645741,40.043453,43.767212,46.241161
13/01/2014,67.436607,43.688301,40.16428,44.2174,46.268101
14/01/2014,67.087723,43.935177,39.668476,44.057167,47.10313
15/01/2014,67.334015,44.028816,40.672581,45.445869,48.135708
16/01/2014,67.320328,43.51804,40.93507,44.637062,47.812462
17/01/2014,67.573441,43.151985,40.61842,44.041901,47.938175
20/01/2014,67.443489,43.466969,40.835075,43.957966,47.992046
21/01/2014,67.539276,44.360821,40.589252,44.789673,48.24345
22/01/2014,67.375076,45.101444,40.589252,44.850712,48.647499
23/01/2014,66.889359,44.454464,40.335102,44.621803,48.072849
24/01/2014,65.007919,43.254143,39.810139,43.240726,46.914581
27/01/2014,64.679512,43.296707,40.16428,43.492523,46.941509
28/01/2014,64.426407,42.785931,41.126724,44.423424,48.126728
29/01/2014,64.207466,42.275158,40.630909,44.25555,47.579014
30/01/2014,64.0159,42.083618,40.793407,44.4692,47.525143
31/01/2014,63.762707,41.71756,40.46843,43.835884,47.372501
03/02/2014,63.550663,41.989971,39.56015,42.538738,47.390453
04/02/2014,63.762707,41.457916,40.168446,43.347549,46.815811
05/02/2014,63.97485,41.564323,39.972622,43.797737,46.914581
06/02/2014,64.775291,42.415615,42.164158,44.812561,47.498203
07/02/2014,66.020409,42.224075,42.547462,45.407719,48.234474
10/02/2014,66.86879,42.590126,42.280819,45.026207,47.830429
11/02/2014,67.457176,42.819981,43.305763,46.041035,48.440987
12/02/2014,67.477676,42.598648,43.322426,46.43018,48.180599
13/02/2014,68.086624,42.939163,43.522408,45.247486,48.117748
14/02/2014,68.41494,42.871063,43.81406,44.827827,48.854012
17/02/2014,67.956581,42.964699,43.697403,44.598911,48.72831
18/02/2014,67.121895,42.888088,43.930721,44.545502,48.315289
19/02/2014,67.552963,43.381836,43.580742,44.545502,48.045918
20/02/2014,67.443489,44.011795,43.430744,44.652321,47.076199
21/02/2014,67.50502,43.373318,44.172371,44.736263,46.690113
24/02/2014,67.895042,43.364807,44.714008,45.278008,45.729366
25/02/2014,67.97715,43.739376,44.955666,45.400093,45.522858
26/02/2014,67.812935,43.78194,44.589012,45.049099,44.481308
27/02/2014,67.895042,43.688301,45.15564,45.133038,44.773121
28/02/2014,68.250732,43.569118,45.105648,45.369568,45.801201
03/03/2014,66.574638,42.470947,43.689068,43.698544,45.352257
04/03/2014,68.48336,43.628708,44.714008,45.08725,45.908947
05/03/2014,68.182396,43.16901,45.130646,45.29327,44.894341
06/03/2014,67.594009,43.16901,44.963989,45.400093,44.660881
07/03/2014,67.402443,43.015778,44.380692,44.61417,44.176022
10/03/2014,67.525589,42.905113,44.647343,44.797298,43.282623
11/03/2014,67.388756,42.84552,44.697334,44.293701,43.30957
12/03/2014,66.643051,42.202797,44.772335,43.843513,42.541874
13/03/2014,65.678413,42.126183,44.205704,43.065228,42.200676
14/03/2014,65.08313,42.036797,43.639072,42.164856,42.052525
17/03/2014,65.39785,42.351776,44.272362,43.202576,43.058159
18/03/2014,65.993126,42.46244,44.705677,43.996124,43.390377
19/03/2014,65.562057,42.530544,44.414032,43.225468,44.072762
20/03/2014,65.746819,42.083618,44.747334,43.400963,44.862907
21/03/2014,66.77301,42.070847,44.214039,43.477264,45.226551
24/03/2014,65.993126,42.381565,43.680737,42.683716,45.073914
25/03/2014,66.957779,43.926655,44.580681,43.39333,45.549793
26/03/2014,67.388756,44.497028,44.755676,43.095745,45.190643
27/03/2014,67.375076,44.190563,45.030659,42.485332,45.172676
28/03/2014,67.765015,44.394875,45.238979,42.805798,45.06493
31/03/2014,67.265602,43.696815,44.922329,42.721863,45.154724
01/04/2014,67.053543,43.466969,45.43063,43.874039,45.370213
02/04/2014,67.067238,43.628708,45.030659,44.232662,44.862907
03/04/2014,67.080933,43.679787,45.188984,44.72863,45.935879
04/04/2014,67.833427,43.918152,45.622284,45.308529,46.321972
07/04/2014,67.388756,44.037327,44.955666,44.446308,44.939232
08/04/2014,67.806061,45.084415,44.922329,43.965603,43.403839
09/04/2014,67.354507,45.06739,45.330639,43.416222,43.83033
10/04/2014,67.443489,44.820518,44.897335,42.82869,44.185001
11/04/2014,66.766197,44.854568,44.805668,41.981731,43.502609
14/04/2014,67.032982,45.518574,44.22237,41.737568,42.887554
15/04/2014,66.759315,45.34832,43.839054,40.860085,42.631653
16/04/2014,67.477676,45.356831,44.997326,41.409466,43.996449
17/04/2014,67.552963,44.871597,45.080647,41.577324,44.589046
22/04/2014,68.893852,44.70985,45.538948,42.477699,44.696796
23/04/2014,68.586021,44.454464,44.997326,41.935951,43.062637
24/04/2014,70.262215,44.437443,45.105648,42.56163,43.138966
25/04/2014,70.433205,44.335278,45.804699,42.027512,43.026726
28/04/2014,70.741051,44.77795,46.162746,42.019886,42.918987
29/04/2014,70.706879,45.186577,46.912945,42.653194,42.64064
30/04/2014,70.535873,45.254681,46.324718,41.287376,43.498119
01/05/2014,70.535873,45.254681,46.324718,41.287376,43.498119
02/05/2014,70.672714,44.565132,46.111599,40.043644,43.165897
05/05/2014,70.535873,44.6758,46.3162,40.028378,43.00877
06/05/2014,70.091125,44.480003,46.128647,39.524784,42.649612
07/05/2014,70.91214,44.725174,46.145695,40.074162,42.209656
08/05/2014,71.664719,45.42564,46.546368,40.844818,42.407192
09/05/2014,71.767311,45.775879,46.427017,40.425152,42.770828
12/05/2014,72.348816,46.021046,46.665722,40.661694,43.089581
13/05/2014,72.040977,47.544571,46.444069,40.486202,43.673203
14/05/2014,72.554062,47.877289,46.3503,40.348858,43.727085
15/05/2014,72.759315,47.929829,45.284668,39.807098,42.923466
16/05/2014,74.42897,48.201263,45.438126,40.051273,42.339844
19/05/2014,74.534798,48.350113,45.770596,39.829994,42.613705
20/05/2014,74.287933,47.553329,45.617146,40.599884,42.483513
21/05/2014,74.499489,47.63213,45.540424,40.065674,42.847149
22/05/2014,74.957893,47.439499,45.745022,40.584175,42.600231
23/05/2014,74.746338,47.2206,45.91552,41.024113,43.269161
26/05/2014,75.239983,47.457012,46.239475,41.236221,43.754013
27/05/2014,75.239983,47.281891,46.3162,41.314781,44.337646
28/05/2014,75.134163,47.36945,46.478172,41.684017,44.598026
29/05/2014,75.134163,47.938583,46.40144,41.361919,45.030094
30/05/2014,75.345711,47.833515,46.290623,40.356346,45.284782
02/06/2014,75.426125,47.816006,46.418491,40.128529,45.480358
03/06/2014,75.371811,47.710938,46.392925,39.994972,45.266586
04/06/2014,75.472633,47.570835,46.546368,40.458477,45.148342
05/06/2014,75.790619,47.842274,47.202793,40.442764,46.007919
06/06/2014,76.318069,47.44825,48.063816,40.780575,46.62645
09/06/2014,76.822289,47.772224,48.276943,41.102673,46.053402
10/06/2014,76.690453,48.104946,48.345142,40.969116,46.098892
