A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
41,509998;41,389999;41,584999;41,049999;1391174;36,618443;0,072;0,7636;0,4487441;0,06
41,200001;41,605;41,865002;41,23;2277938;36,773472;0,074;0,7709;0,4487441;0,06
42,439999;41,674999;41,895;40,849998;2600409;36,498848;0,086;0,7702;0,4487441;0,06
43,115002;41,799999;42,549999;41,584999;4563592;37,597355;0,081;0,7705;0,4487441;0,06
43,299999;42,904999;43,349998;42,785;2875866;38,195335;0,078;0,7775;0,4487441;0,06
43,299999;42,939999;43,494999;42,830002;2513485;38,359222;0,082;0,7742;0,4487441;0,06
43,165001;43,294998;43,369999;42,900002;3449904;38,359222;0,066;0,7799;0,4487441;0,06
43,075001;43,299999;43,334999;42,625;1394240;38,239628;0,069;0,7778;0,4487441;0,06
43,099998;43,165001;43,299999;42,685001;2153559;38,159893;0,076;0,7768;0,4487441;0,06
42,02;43,189999;43,349998;42,759998;1737715;38,182045;0,083;0,7765;0,4487441;0,06
42,525002;42,509998;42,82;41,805;2755654;37,225281;0,078;0,7751;0,4487441;0,06
42,595001;42,445;42,59;42,105;1384365;37,672657;0,081;0,7735;0,4487441;0,06
43,799999;42,785;42,855;42,395;876325;37,734669;0,082;0,7735;0,4487441;0,06
44,200001;42,939999;43,799999;42,689999;2706716;38,80217;0,084;0,7778;0,4487441;0,06
44,244999;43,689999;44,674999;43,150002;4228263;39,156525;0,076;0,7712;0,4487441;0,06
44,450001;43,994999;44,799999;43,900002;2039093;39,196396;0,073;0,766;0,4487441;0,06
43,384998;43,990002;44,450001;42,869999;10733430;39,919338;0,114;0,7716;0,4487441;0,06
43,325001;44,049999;44,224998;43,384998;2430425;38,962887;0,078;0,7675;0,4487441;0,16
42,445;44,345001;44,360001;43,139999;1547071;38,909008;0,078;0,7651;0,4487441;0,16
41,919998;43,200001;43,34;42,435001;1896826;38,118698;0,081;0,7642;0,4487441;0,16
43,424999;42,445;42,68;41,919998;1737282;37,647209;0,083;0,7579;0,4487441;0,16
43,009998;41,775002;43,689999;41,775002;2726368;38,998814;0,078;0,7564;0,4487441;0,16
42,334999;43,415001;43,810001;42,880001;1712629;38,626114;0,082;0,7579;0,4487441;0,16
42,994999;42,98;42,994999;41,970001;2329885;38,019917;0,075;0,7534;0,4487441;0,16
43,005001;42,57;43,490002;42,57;2271884;38,612644;0,077;0,7498;0,4487441;0,16
42,84;42,285;43,150002;42,084999;2080705;38,621624;0,074;0,7519;0,4487441;0,16
43;43,485001;43,5;42,5;2010989;38,473446;0,075;0,7496;0,4487441;0,16
43,150002;43,099998;43,900002;42,865002;2312405;38,617138;0,08;0,7492;0,4487441;0,16
42,305;43,244999;43,605;42,919998;2001250;38,75185;0,073;0,7467;0,4487441;0,16
41,264999;43,150002;43,150002;42,130001;3200605;37,992973;0,082;0,746;0,4487441;0,16
40,75;41,5;41,830002;41,09;3941456;37,058975;0,082;0,759;0,4487441;0,16
39,610001;41,884998;41,889999;40,75;7470931;36,59647;0,084;0,7613;0,4487441;0,16
40,744999;40,560001;40,950001;39,465;3744579;35,572666;0,084;0,7638;0,4487441;0,16
41,369999;40;40,790001;39,799999;2472854;36,59198;0,079;0,7649;0,4487441;0,16
41,560001;40,68;41,494999;40,200001;2844191;37,153275;0,084;0,7691;0,4487441;0,16
41,064999;41,384998;41,794998;41,23;2379185;37,32391;0,086;0,7691;0,4487441;0,16
41,209999;41,794998;42,275002;41,064999;3061937;36,879364;0,208;0,7693;0,4487441;0,16
40,790001;41,435001;42,09;41,209999;3082547;37,009583;0,085;0,7671;0,4487441;-0,3
40,235001;41,5;41,5;40,740002;1876329;36,632397;0,082;0,7673;0,4487441;-0,3
41,700001;40,5;40,665001;39,889999;2436894;36,133965;0,082;0,771;0,4487441;-0,3
41,200001;40,514999;41,700001;40,18;2697682;37,449642;0,087;0,7744;0,4487441;-0,3
41,66;41,715;41,849998;41,035;1684359;37,000607;0,087;0,7791;0,4487441;-0,3
41,724998;41,615002;42,040001;41,57;2096223;37,413712;0,084;0,7773;0,4487441;-0,3
41,509998;42;42;41,549999;1540284;37,472088;0,083;0,7821;0,4487441;-0,3
41,360001;41,700001;41,889999;41,119999;1634191;37,279003;0,088;0,7777;0,4487441;-0,3
41,27;41,994999;42,18;41,130001;2152178;37,144295;0,09;0,7669;0,4487441;-0,3
41,84;41,575001;41,799999;40,884998;1853044;37,063465;0,087;0,7661;0,4487441;-0,3
41,625;41,470001;41,945;41,419998;1646518;37,575371;0,086;0,7665;0,4487441;-0,3
41,66;41,84;41,939999;41,285;1735639;37,382282;0,083;0,7612;0,4487441;-0,3
42,215;41,974998;42,185001;41,18;2747420;37,413712;0,09;0,7638;0,4487441;-0,3
42,639999;41,764999;42,259998;41,605;2388882;37,912148;0,091;0,7639;0,4487441;-0,3
42,57;42,290001;42,709999;42,134998;2836970;38,293827;0,098;0,7612;0,4487441;-0,3
42,23;42,77;42,77;42,305;1081362;38,230961;0,101;0,7579;0,4487441;-0,3
42,32;42,630001;42,735001;42,23;1485092;37,925621;0,105;0,7565;0,4487441;-0,3
43,450001;42,209999;42,494999;41,950001;2450219;38,006447;0,104;0,7555;0,4487441;-0,3
44,169998;42,435001;43,485001;42,369999;2870016;39,021263;0,098;0,7556;0,4487441;-0,3
44,345001;43,990002;44,470001;43,599998;3025523;39,667877;0,097;0,7539;0,4487441;-0,3
44,27;44,264999;44,445;44,18;3242432;39,825047;0,092;0,7545;0,4487441;-0,3
44,884998;44,450001;44,73;44,145;2328383;39,757687;0,099;0,7547;0,4487441;-0,3
45,275002;45,490002;45,75;44,259998;4996391;40,310001;0,143;0,7531;0,4487441;-0,3
45,055;45,5;45,709999;45,049999;2567179;40,660252;0,093;0,7556;0,4487441;0,46
44,790001;45,509998;45,509998;44,735001;2261250;40,462673;0,084;0,7528;0,4487441;0,46
45,404999;45,220001;45,224998;44,790001;2058881;40,224689;0,083;0,7553;0,4487441;0,46
45,619999;44,900002;45,465;44,799999;2804882;40,777;0,078;0,7514;0,4487441;0,46
45,830002;45,505001;45,740002;45,130001;2214203;40,970085;0,099;0,7508;0,4487441;0,46
45,955002;45,75;45,919998;45,384998;1489360;41,15868;0,084;0,7471;0,4487441;0,46
44,939999;46;46,035;45,334999;1557013;41,270939;0,082;0,749;0,4487441;0,46
44,544998;46,049999;46,099998;44,915001;1684855;40,359394;0,079;0,7522;0,4487441;0,46
45,049999;45;45,255001;44,424999;1780375;40,004654;0,077;0,7555;0,4487441;0,46
45,110001;44,900002;45,419998;44,68;2131129;40,458183;0,08;0,7539;0,4487441;0,46
45,205002;45,049999;45,5;44,700001;1939857;40,51207;0,077;0,7547;0,4487441;0,46
44,880001;45,299999;45,380001;44,650002;2234531;40,597389;0,078;0,7501;0,4487441;0,46
43,939999;45,389999;45,395;44,785;1224341;40,305511;0,079;0,749;0,4487441;0,46
43,465;44,794998;44,869999;43,700001;1997454;39,461323;0,078;0,7448;0,4487441;0,46
43,994999;44,18;44,259998;43,465;1385074;39,03474;0,078;0,7476;0,4487441;0,46
44,450001;43,634998;44,174999;43,544998;2017260;39,510715;0,079;0,7493;0,4487441;0,46
44,505001;44,145;44,564999;43,790001;989546;39,919338;0,077;0,7462;0,4487441;0,46
43,775002;44,625;44,650002;43,974998;597311;39,968731;0,078;0,7481;0,4487441;0,46
42,689999;44,395;44,400002;43,615002;2862768;39,313141;0,08;0,7466;0,4487441;0,46
43,404999;43,505001;43,580002;42,305;2907332;38,338734;0,078;0,7497;0,4487441;0,46
43,605;43,009998;43,525002;42,814999;1784353;38,980854;0,076;0,7561;0,4487441;0,46
44,650002;43,764999;43,889999;43,5;2273019;39,160469;0,107;0,7584;0,4487441;0,46
44,310001;44,060001;44,75;43,950001;1739667;40,098957;0,079;0,7581;0,4487441;-0,23
44,625;44,794998;44,794998;43,900002;1532516;39,793606;0,08;0,76;0,4487441;-0,23
45,09;44,290001;44,785;43,779999;1691057;40,076508;0,073;0,7577;0,4487441;-0,23
45,389999;44,619999;45,115002;44,610001;1387417;40,494106;0,069;0,7622;0,4487441;-0,23
45,48;44,875;45,400002;44,685001;1589466;40,763527;0,075;0,7601;0,4487441;-0,23
46,345001;45,110001;45,48;45,02;1099409;40,844357;0,068;0,7545;0,4487441;-0,23
46,005001;45,779999;46,639999;45,599998;2387247;41,621193;0,071;0,7539;0,4487441;-0,23
45,25;46,255001;46,724998;45,950001;2234328;41,315842;0,073;0,7518;0,4487441;-0,23
44,805;46,07;46,165001;45,040001;2411128;40,637802;0,068;0,7514;0,4487441;-0,23
45,080002;45,299999;45,299999;44,610001;1764052;40,238155;0,072;0,7541;0,4487441;-0,23
45,099998;45,400002;45,549999;44,919998;1762082;40,485126;0,073;0,7489;0,4487441;-0,23
46,445;45,099998;45,395;44,855;1442157;40,503086;0,075;0,7492;0,4487441;-0,23
47,25;45,345001;46,445;45,299999;1980234;41,710995;0,078;0,7492;0,4487441;-0,23
46,965;47,439999;47,450001;46,900002;3242998;42,433945;0,075;0,7385;0,4487441;-0,23
46,005001;47,355;47,700001;46,965;6332698;42,177994;0,078;0,7402;0,4487441;-0,23
46,099998;47,154999;47,384998;45,900002;2183106;41,315842;0,08;0,7412;0,4487441;-0,23
46,610001;46,044998;46,334999;45,919998;2005559;41,401161;0,077;0,7412;0,4487441;-0,23
47,02;46,384998;46,665001;46,025002;2312883;41,859173;0,077;0,7403;0,4487441;-0,23
47,450001;46,990002;47,25;46,810001;1978781;42,22739;0,082;0,7418;0,4487441;-0,23
47,095001;47,224998;47,735001;47,044998;1876019;42,61356;0,085;0,7386;0,4487441;-0,23
48,334999;47,099998;47,305;46,650002;1766626;42,294743;0,179;0,7388;0,4487441;-0,23
48,575001;47,59;48,365002;47,529999;2276455;43,408356;0,08;0,7394;0,4487441;-0,13
48,59;48,099998;48,849998;47,884998;2122793;43,62389;0,079;0,7358;0,4487441;-0,13
49,209999;48,705002;49,055;48,525002;1819598;43,637367;0,079;0,734;0,4487441;-0,13
50,299999;48,459999;49,349998;47,955002;1796721;44,194168;0,084;0,7355;0,4487441;-0,13
48,994999;49,485001;50,419998;49,200001;3140692;45,173065;0,082;0,7369;0,4487441;-0,13
47,935001;50,400002;50,580002;48,915001;2631239;44,00108;0,084;0,7355;0,4487441;-0,13
48,299999;48,939999;48,950001;47,775002;2482727;43,049118;0,081;0,7399;0,4487441;-0,13
48,77;48,490002;48,669998;47,945;2764975;43,376919;0,08;0,7396;0,4487441;-0,13
48,919998;48,740002;48,869999;48,299999;1954816;43,799015;0,085;0,7373;0,4487441;-0,13
48,540001;48,720001;48,93;48,334999;1217599;43,933727;0,078;0,7361;0,4487441;-0,13
48,314999;49,264999;49,264999;48,43;1848129;43,592461;0,078;0,7406;0,4487441;-0,13
48,465;48,560001;48,634998;47,994999;1518694;43,390388;0,082;0,7412;0,4487441;-0,13
48,959999;48,419998;48,619999;47,939999;1914856;43,525101;0,088;0,7319;0,4487441;-0,13
48,025002;48,994999;49,115002;48,599998;2052359;43,96965;0,093;0,7301;0,4487441;-0,13
47,689999;49;49,139999;47,939999;1830926;43,129951;0,091;0,7313;0,4487441;-0,13
47,299999;48,299999;48,540001;47,595001;2162216;42,82909;0,093;0,7261;0,4487441;-0,13
48,400002;47,584999;47,735001;47,009998;2534202;42,478848;0,094;0,7255;0,4487441;-0,13
49,040001;47,68;48,400002;47,395;2066874;43,466732;0,096;0,7245;0,4487441;-0,13
48,639999;48,349998;49,040001;48,009998;1784910;44,041492;0,096;0,725;0,4487441;-0,13
49,330002;49,244999;49,485001;48,514999;1485558;43,68227;0,095;0,7254;0,4487441;-0,13
50,279999;48,639999;49,330002;48,540001;1768137;44,301937;0,098;0,7262;0,4487441;-0,13
50,610001;49,349998;50,459999;49,349998;2497227;45,155102;0,103;0,7262;0,4487441;-0,13
50,610001;49,98;50,689999;49,57;2794922;45,451466;0,228;0,7356;0,4487441;-0,13
52,009998;50,509998;51,799999;50,330002;2496864;45,451466;0,092;0,7415;0,4487441;-0,04
52,66;50,91;52,419998;50,709999;2145068;46,708771;0,092;0,7401;0,4487441;-0,04
53,509998;52,009998;53,189999;51,900002;2705203;47,292519;0,089;0,7421;0,4487441;-0,04
53,639999;52,900002;53,889999;52,75;2026409;48,055878;0,086;0,7393;0,4487441;-0,04
53,439999;53,529999;54,5;53,150002;2726152;48,172626;0,078;0,7472;0,4487441;-0,04
53,799999;53,349998;53,540001;52,41;2599071;47,993011;0,077;0,7491;0,4487441;-0,04
52,349998;53,400002;54,189999;53,259998;1446062;48,316322;0,076;0,7458;0,4487441;-0,04
