res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 15200, fitness evaluations: 759950, best fitness: 0.000418, time elapsed: 2 minutes, 3.72 seconds
evolution step 15300, fitness evaluations: 764950, best fitness: 0.000418, time elapsed: 2 minutes, 4.47 seconds
evolution step 15400, fitness evaluations: 769950, best fitness: 0.000418, time elapsed: 2 minutes, 5.23 seconds
evolution step 15500, fitness evaluations: 774950, best fitness: 0.000418, time elapsed: 2 minutes, 6 seconds
evolution step 15600, fitness evaluations: 779950, best fitness: 0.000418, time elapsed: 2 minutes, 6.76 seconds
evolution step 15700, fitness evaluations: 784950, best fitness: 0.000418, time elapsed: 2 minutes, 7.54 seconds
evolution step 15800, fitness evaluations: 789950, best fitness: 0.000418, time elapsed: 2 minutes, 8.31 seconds
evolution step 15900, fitness evaluations: 794950, best fitness: 0.000418, time elapsed: 2 minutes, 9.09 seconds
evolution step 16000, fitness evaluations: 799950, best fitness: 0.000418, time elapsed: 2 minutes, 9.87 seconds
evolution step 16100, fitness evaluations: 804950, best fitness: 0.000418, time elapsed: 2 minutes, 10.59 seconds
evolution step 16200, fitness evaluations: 809950, best fitness: 0.000418, time elapsed: 2 minutes, 11.31 seconds
evolution step 16300, fitness evaluations: 814950, best fitness: 0.000418, time elapsed: 2 minutes, 12.09 seconds
evolution step 16400, fitness evaluations: 819950, best fitness: 0.000418, time elapsed: 2 minutes, 12.86 seconds
evolution step 16500, fitness evaluations: 824950, best fitness: 0.000418, time elapsed: 2 minutes, 13.61 seconds
evolution step 16600, fitness evaluations: 829950, best fitness: 0.000418, time elapsed: 2 minutes, 14.42 seconds
evolution step 16700, fitness evaluations: 834950, best fitness: 0.000418, time elapsed: 2 minutes, 15.22 seconds
evolution step 16800, fitness evaluations: 839950, best fitness: 0.000418, time elapsed: 2 minutes, 16.01 seconds
evolution step 16900, fitness evaluations: 844950, best fitness: 0.000418, time elapsed: 2 minutes, 16.79 seconds
evolution step 17000, fitness evaluations: 849950, best fitness: 0.000418, time elapsed: 2 minutes, 17.51 seconds
evolution step 17100, fitness evaluations: 854950, best fitness: 0.000418, time elapsed: 2 minutes, 18.23 seconds
