"","x"
"96",56.1572663774447
"97",55.4332376614531
"98",55.7300610599594
"99",55.7547377382122
"100",55.4332376614531
"101",55.8961526012757
"102",55.4224416498531
"103",55.7300610599594
"104",55.8961526012757
"105",55.4332376614531
"106",55.4224416498531
"107",55.4332376614531
"108",55.0842428558992
"109",55.0842428558992
"110",55.0842428558992
"111",55.0842428558992
"112",55.0842428558992
"113",55.0842428558992
"114",55.1539403269544
"115",55.0842428558992
"116",55.0929811897325
"117",55.0970311843325
"118",55.0882928504992
"119",55.4698057886221
"120",55.7734916799854
"121",56.0983609584467
"122",55.7734916799854
"123",56.0983609584467
"124",55.7822300138188
"125",56.176332323863
"126",55.7822300138188
"127",55.6875699828684
"128",55.6875699828684
"129",55.6875699828684
"130",55.6916199774684
"131",55.6916199774684
"132",55.7003583113017
"133",55.7003583113017
"134",55.6916199774684
"135",55.6875699828684
"136",55.6916199774684
"137",55.707666356929
"138",55.711716351529
"139",55.711716351529
"140",56.1863550702731
"141",55.253638678066
"142",55.253638678066
"143",54.9091562336946
"144",54.9091562336946
"145",54.9091562336946
"146",54.9132062282946
"147",54.9132062282946
"148",54.9132062282946
"149",54.9132062282946
"150",54.9091562336946
"151",54.9091562336946
"152",54.9132062282946
"153",54.9132062282946
"154",54.9132062282946
"155",54.9132062282946
"156",54.9132062282946
"157",54.9132062282946
"158",54.9132062282946
"159",54.9132062282946
"160",54.9616263224827
"161",55.7170973495742
"162",55.7170973495742
"163",55.6809262788011
"164",55.7246803624236
"165",55.7082369547935
"166",55.5685596142273
"167",55.0316237979379
"168",55.270478491957
"169",55.2428426664661
"170",54.9832037037497
"171",55.253638678066
"172",55.253638678066
"173",54.9832037037497
"174",54.9091562336946
"175",54.9091562336946
"176",54.9091562336946
"177",54.9091562336946
"178",54.9091562336946
"179",54.9091562336946
"180",54.889059859634
"181",54.893109854234
"182",54.893109854234
"183",55.1409020009091
"184",54.941779530941
"185",55.0072913431687
"186",55.14482895947
"187",55.1499361411603
"188",55.1843580608855
"189",55.1843580608855
"190",55.1954270466027
"191",55.1905073107665
"192",55.3900951783521
"193",54.9188309435828
"194",54.9188309435828
"195",54.9188309435828
"196",54.9147809489828
"197",55.6707746554226
"198",55.2265773714209
"199",55.6869833270817
"200",55.708873337415
"201",54.9669384087046
