A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
57,849998;56,900002;57,470001;56,52;1104999;48,864155;0,09;0,7638;0,4487441;-0,3
57,389999;57,220001;57,869999;56,849998;1002270;49,247234;0,091;0,7639;0,4487441;-0,3
57,639999;57,880001;57,93;57,080002;1297779;48,85564;0,098;0,7612;0,4487441;-0,3
57,400002;57,5;57,869999;57,290001;967700;49,068466;0,101;0,7579;0,4487441;-0,3
58,41;57,52;57,900002;57,349998;937588;48,864155;0,105;0,7565;0,4487441;-0,3
57,68;57,669998;58,709999;57,5;1787756;49,723961;0,104;0,7555;0,4487441;-0,3
57,459999;58,5;58,82;57,34;1716604;49,102516;0,098;0,7556;0,4487441;-0,3
59,27;58,049999;58,560001;57,389999;1501818;48,915234;0,097;0,7539;0,4487441;-0,3
59,650002;59;59,75;58,619999;2996314;50,456066;0,092;0,7545;0,4487441;-0,3
59,400002;59,799999;59,98;59,25;1410902;50,779564;0,099;0,7547;0,4487441;-0,3
60,07;59,419998;59,610001;59,02;1629085;50,566738;0,143;0,7531;0,4487441;-0,3
60,389999;59,529999;60,27;59,529999;1197578;51,137108;0,093;0,7556;0,4487441;0,46
59,419998;60,119999;60,450001;59,91;1195901;51,409515;0,084;0,7528;0,4487441;0,46
59,630001;59,439999;60,009998;59,290001;1524013;50,583763;0,083;0,7553;0,4487441;0,46
59,450001;59,32;60,07;59,23;1156924;50,762531;0,078;0,7514;0,4487441;0,46
59,07;59,450001;59,709999;59,139999;1092829;50,609303;0,099;0,7508;0,4487441;0,46
59,259998;59,450001;59,450001;58,860001;1019207;50,285812;0,084;0,7471;0,4487441;0,46
59,119999;59,200001;59,419998;58,790001;918575;50,447559;0,082;0,749;0,4487441;0,46
59,68;59,150002;59,209999;58,560001;649053;50,328373;0,079;0,7522;0,4487441;0,46
59,200001;59,439999;59,779999;59,200001;756867;50,805099;0,077;0,7555;0,4487441;0,46
58,970001;59,75;59,990002;59,18;1116462;50,396481;0,08;0,7539;0,4487441;0,46
59,27;59,02;59,189999;58,369999;773267;50,200684;0,077;0,7547;0,4487441;0,46
58,91;59,110001;59,599998;58,830002;1190195;50,456066;0,078;0,7501;0,4487441;0,46
58,150002;59,439999;59,450001;58,59;697169;50,149605;0,079;0,749;0,4487441;0,46
58,139999;58,799999;58,799999;57,860001;1182529;49,502625;0,078;0,7448;0,4487441;0,46
58,389999;58,23;58,41;57,959999;762410;49,49411;0,078;0,7476;0,4487441;0,46
58,48;58,119999;58,689999;58,119999;1036123;49,706936;0,079;0,7493;0,4487441;0,46
58,490002;58,349998;58,48;57,799999;682881;49,783546;0,077;0,7462;0,4487441;0,46
57,41;58,48;58,610001;57,939999;345691;49,792061;0,078;0,7481;0,4487441;0,46
57,049999;58,34;58,48;57,290001;1617781;48,872669;0,08;0,7466;0,4487441;0,46
57,259998;57,48;57,5;56,75;1222150;48,5662;0,078;0,7497;0,4487441;0,46
56,34;57,040001;57,450001;56,720001;748922;48,744972;0,076;0,7561;0,4487441;0,46
56,75;56;56,900002;55,84;1894230;47,961784;0,107;0,7584;0,4487441;0,46
56,200001;56,889999;57,099998;56,52;1060948;48,310814;0,079;0,7581;0,4487441;-0,23
56,02;56,509998;56,830002;56,09;1408579;47,842606;0,08;0,76;0,4487441;-0,23
55,709999;56;56,200001;55,220001;1734957;47,689377;0,073;0,7577;0,4487441;-0,23
56,200001;56;56,27;55,450001;1606402;47,425472;0,069;0,7622;0,4487441;-0,23
55,290001;55,77;56,34;55,400002;1458284;47,842606;0,075;0,7601;0,4487441;-0,23
56,349998;55,68;55,700001;54,91;1639412;47,067932;0,068;0,7545;0,4487441;-0,23
55,959999;55,810001;56,630001;55,549999;1787511;47,970299;0,071;0,7539;0,4487441;-0,23
56,080002;56,099998;56,119999;55,619999;1415259;47,638294;0,073;0,7518;0,4487441;-0,23
56,049999;55,91;56,470001;55,799999;1158491;47,740452;0,068;0,7514;0,4487441;-0,23
56,259998;56,310001;56,580002;55,990002;1587151;47,714909;0,072;0,7541;0,4487441;-0,23
56,41;56,25;56,68;55,549999;1726615;47,893681;0,073;0,7489;0,4487441;-0,23
57,049999;56;56,790001;56;1044493;48,021374;0,075;0,7492;0,4487441;-0,23
57,720001;56,59;57,740002;56,459999;2013175;48,5662;0,078;0,7492;0,4487441;-0,23
57,759998;57,790001;57,950001;57,330002;2228476;49,13657;0,075;0,7385;0,4487441;-0,23
57,400002;57,619999;57,759998;57,009998;4552079;49,17062;0,078;0,7402;0,4487441;-0,23
57,41;57,810001;57,98;57,16;1950951;48,864155;0,08;0,7412;0,4487441;-0,23
56,75;57,32;57,720001;57,169998;1275585;48,872669;0,077;0,7412;0,4487441;-0,23
56,18;57,459999;57,529999;56,490002;1188864;48,310814;0,077;0,7403;0,4487441;-0,23
55,439999;56,799999;57;55,889999;1501752;47,825581;0,082;0,7418;0,4487441;-0,23
55,639999;56,029999;56,34;55,139999;1662114;47,195625;0,085;0,7386;0,4487441;-0,23
55,810001;55,080002;55,639999;55,009998;1562356;47,365879;0,179;0,7388;0,4487441;-0,23
54,98;55,099998;56,049999;54,959999;1891887;47,510601;0,08;0,7394;0,4487441;-0,13
54,810001;55,709999;55,709999;54,720001;1558716;46,804024;0,079;0,7358;0,4487441;-0,13
55,470001;55,119999;55,32;54,779999;1037339;46,659313;0,079;0,734;0,4487441;-0,13
54,810001;54,889999;55,66;54,82;1503310;47,221161;0,084;0,7355;0,4487441;-0,13
54;55,110001;55,119999;54,630001;1193479;46,659313;0,082;0,7369;0,4487441;-0,13
53;54,689999;54,91;53,91;1718933;45,969765;0,084;0,7355;0,4487441;-0,13
53,41;53,98;54;52,82;2020831;45,118473;0,081;0,7399;0,4487441;-0,13
53,049999;53,279999;53,759998;52,849998;2222822;45,467499;0,08;0,7396;0,4487441;-0,13
53,48;53,740002;53,740002;52,810001;1600128;45,16103;0,085;0,7373;0,4487441;-0,13
53,040001;52,900002;53,68;52,549999;1862202;45,527088;0,078;0,7361;0,4487441;-0,13
51,830002;53,540001;53,610001;52,700001;2284713;45,152523;0,078;0,7406;0,4487441;-0,13
52,549999;50,32;51,849998;50,299999;4744194;44,122459;0,082;0,7412;0,4487441;-0,13
53,57;51,220001;52,66;51,16;2366807;44,735386;0,088;0,7319;0,4487441;-0,13
53,400002;53;53,639999;52,700001;1994121;45,603703;0,093;0,7301;0,4487441;-0,13
54,209999;53,5;53,540001;52,98;1597098;45,458988;0,091;0,7313;0,4487441;-0,13
54,540001;53,330002;54,299999;53,209999;2001254;46,148537;0,093;0,7261;0,4487441;-0,13
54,830002;54;54,540001;53,900002;1737901;46,429459;0,094;0,7255;0,4487441;-0,13
55,299999;54,740002;54,98;54,529999;1607561;46,676334;0,096;0,7245;0,4487441;-0,13
55,540001;54,93;55,48;54,830002;1772824;47,076439;0,096;0,725;0,4487441;-0,13
55,75;55,529999;55,650002;55,080002;1028153;47,28075;0,095;0,7254;0,4487441;-0,13
54,23;55,610001;56,130001;55,470001;1339646;47,459522;0,098;0,7262;0,4487441;-0,13
54,619999;55,68;55,73;54,029999;2584245;46,165558;0,103;0,7262;0,4487441;-0,13
54,310001;53,860001;54,869999;53,799999;1526472;46,497559;0,228;0,7356;0,4487441;-0,13
53,860001;54,830002;54,869999;54,18;751331;46,233665;0,092;0,7415;0,4487441;-0,04
53,419998;54;54,330002;53,799999;1251187;45,850582;0,092;0,7401;0,4487441;-0,04
53,790001;54,040001;54,040001;53;1454612;45,476013;0,089;0,7421;0,4487441;-0,04
53,599998;53,529999;54,080002;53,419998;1342215;45,790993;0,086;0,7393;0,4487441;-0,04
53,720001;53,700001;54,400002;53,459999;1397166;45,629246;0,078;0,7472;0,4487441;-0,04
54,119999;53,400002;53,91;53,189999;1272533;45,731403;0,077;0,7491;0,4487441;-0,04
53,959999;53,75;54,32;53,709999;805071;46,071915;0,076;0,7458;0,4487441;-0,04
54,029999;54;54,400002;53,91;927389;45,935711;0,074;0,7442;0,4487441;-0,04
54,549999;53,98;54,369999;53,619999;991055;45,9953;0,07;0,7461;0,4487441;-0,04
55,029999;54,720001;54,869999;54,220001;1147788;46,437973;0,076;0,743;0,4487441;-0,04
55,700001;54,419998;55,16;53,959999;2587905;46,846592;0,079;0,7422;0,4487441;-0,04
55,52;55,200001;55,98;54,900002;1697558;47,416958;0,084;0,7394;0,4487441;-0,04
55,32;55,639999;55,68;55,23;1067137;47,263729;0,086;0,7393;0,4487441;-0,04
54,66;55,509998;55,830002;55,119999;1227232;47,093468;0,091;0,7427;0,4487441;-0,04
54,860001;55,490002;55,490002;54,459999;1622013;46,53162;0,108;0,7428;0,4487441;-0,04
54,889999;54,889999;55,110001;54,41;949664;46,701874;0,117;0,7396;0,4487441;-0,04
53,779999;55,189999;55,200001;54,759998;1072228;46,727409;0,132;0,7405;0,4487441;-0,04
53,639999;54,790001;54,849998;53,740002;1993533;45,782478;0,131;0,7374;0,4487441;-0,04
53,68;53,939999;54,060001;53,189999;1805144;45,6633;0,123;0,7368;0,4487441;-0,04
53,48;53,509998;54,07;53,509998;806945;45,697346;0,127;0,7353;0,4487441;-0,04
53,380001;53,52;53,889999;53,419998;1320373;45,527088;0,277;0,7344;0,4487441;-0,04
52,400002;53,669998;53,919998;53,07;1118992;45,441959;0,112;0,7377;0,4487441;0,34
52,34;53,27;53,43;52,380001;1872672;44,607697;0,117;0,7359;0,4487441;0,34
52,310001;52,939999;53,209999;52,110001;1812703;44,556618;0,126;0,7377;0,4487441;0,34
52,32;52,400002;52,950001;52,310001;1689739;44,531078;0,127;0,7322;0,4487441;0,34
52,23;52,450001;52,700001;51,939999;1522763;44,539593;0,127;0,7308;0,4487441;0,34
51,759998;51,900002;52,290001;51,23;2023429;44,462978;0,125;0,7289;0,4487441;0,34
51,490002;52,110001;52,57;51,759998;1649729;44,062866;0,131;0,7262;0,4487441;0,34
51,450001;51,799999;52,16;51,43;1209604;43,833023;0,144;0,7251;0,4487441;0,34
51,07;51,25;51,77;51,130001;1609314;43,798965;0,139;0,7271;0,4487441;0,34
51,599998;51,27;51,389999;50,98;1442199;43,475475;0,15;0,7283;0,4487441;0,34
50,57;51,080002;51,599998;51,040001;1470131;43,926655;0,183;0,7271;0,4487441;0,34
50,669998;51,549999;51,57;50,57;2437770;43,049835;0,206;0,7283;0,4487441;0,34
51,32;51,02;51,02;50,549999;1645123;43,13496;0,176;0,7266;0,4487441;0,34
51,040001;51,080002;51,32;50,720001;2074396;43,688301;0,159;0,7316;0,4487441;0,34
51,07;51,59;52,09;50,959999;3283592;43,44994;0,161;0,7315;0,4487441;0,34
51,200001;51,330002;51,41;50,689999;1084811;43,475475;0,158;0,7296;0,4487441;0,34
51,93;50,950001;51,380001;50,950001;304587;43,586147;0,171;0,731;0,4487441;0,34
52,259998;51,509998;52,029999;51,509998;1384240;44,207588;0,192;0,7259;0,4487441;0,34
52,32;52,09;52,48;51,93;1260898;44,48851;0,223;0,724;0,4487441;0,34
51,459999;52,490002;52,5;52,139999;225991;44,539593;0,446;0,7263;0,4487441;0,34
51,68;53;53;51,459999;1590708;43,807484;0,152;0,7322;0,3005685;-0,56
51,18;51,73;51,77;51,25;1098725;43,994766;0,111;0,7346;0,3005685;-0,56
51,82;51,43;51,93;51,049999;1148669;43,569118;0,096;0,733;0,3005685;-0,56
51,169998;51,389999;51,959999;51,299999;1632488;44,113945;0,099;0,735;0,3005685;-0,56
50,799999;51,77;51,799999;51,080002;2068028;43,560608;0,137;0,7353;0,3005685;-0,56
51,27;51;51,220001;50,57;1961210;43,245628;0,156;0,7361;0,3005685;-0,56
51,32;51;51,32;50,779999;1642492;43,645741;0,154;0,7314;0,3005685;-0,56
