OPEN,HIGH,LOW,CLOSE,VOLUME,BAR_SIZE,DATE_TIME
184.63,185.4,183.59,185.09,1095189,DAY_1,2014-04-08
185.09,187.22,185.0,187.2,916126,DAY_1,2014-04-09
187.17,187.2,182.93,183.31,1565728,DAY_1,2014-04-10
183.46,183.52,181.31,181.54,1596496,DAY_1,2014-04-11
181.5,183.37,181.23,183.08,1185925,DAY_1,2014-04-14
183.04,184.94,181.51,184.66,1502780,DAY_1,2014-04-15
185.07,186.22,184.21,185.47,975692,DAY_1,2014-04-16
185.4,186.91,183.68,186.38,912446,DAY_1,2014-04-17
186.58,187.12,186.21,187.07,661546,DAY_1,2014-04-21
187.14,188.4,186.76,187.88,791495,DAY_1,2014-04-22
188.0,188.6,187.3,188.43,699359,DAY_1,2014-04-23
188.52,188.79,186.93,187.79,870492,DAY_1,2014-04-24
187.74,187.81,185.87,186.59,1027780,DAY_1,2014-04-25
186.94,187.69,184.96,187.24,1346200,DAY_1,2014-04-28
187.48,188.04,186.88,187.51,798018,DAY_1,2014-04-29
187.35,188.6,187.18,188.52,984128,DAY_1,2014-04-30
188.58,188.84,187.73,188.41,867808,DAY_1,2014-05-01
188.58,189.3,187.78,188.01,894511,DAY_1,2014-05-02
188.04,188.55,186.62,188.3,716581,DAY_1,2014-05-05
188.5,188.62,186.74,186.91,728319,DAY_1,2014-05-06
187.03,188.13,186.01,187.88,1033262,DAY_1,2014-05-07
188.13,189.05,187.08,187.53,927120,DAY_1,2014-05-08
187.65,188.09,186.83,188.07,795955,DAY_1,2014-05-09
188.2,189.98,188.0,189.96,756765,DAY_1,2014-05-12
190.01,190.42,189.23,189.99,660466,DAY_1,2014-05-13
190.0,190.01,188.79,189.05,692586,DAY_1,2014-05-14
189.16,189.16,186.48,187.33,1442055,DAY_1,2014-05-15
187.4,188.23,186.72,188.14,897649,DAY_1,2014-05-16
187.99,188.89,187.19,188.61,616097,DAY_1,2014-05-19
188.82,188.91,187.07,187.3,1013577,DAY_1,2014-05-20
187.62,189.22,187.55,189.06,893354,DAY_1,2014-05-21
189.23,189.98,188.86,189.63,561788,DAY_1,2014-05-22
189.75,190.48,189.58,190.25,582615,DAY_1,2014-05-23
190.54,191.64,190.38,191.52,668803,DAY_1,2014-05-27
191.55,191.98,191.06,191.45,616608,DAY_1,2014-05-28
191.65,192.4,191.33,192.3,608792,DAY_1,2014-05-29
192.17,192.82,192.03,192.78,730320,DAY_1,2014-05-30
